Animal type;Country;Weight kg;Body Length cm;Gender;Animal code;Latitude;Longitude;Animal name;Observation date;Data compiled by
hedgehog;hungary;1.1;22;male;;48.505090;20.539448;;23.03.2024;anne anthony
hedgehog;poland;0.8;20;female;;52.215039;21.032591;;23.03.2024;anne anthony
hedgehog;poland;0.5;19;female;;52.215085;21.034198;;23.03.2024;anne anthony
red squirrel;poland;0.348;20;female;;50.041860;19.950192;;23.03.2024;anne anthony
red squirrel;hungary;0.301;18;male;;47.510260;18.947838;;23.03.2024;anne anthony
hedgehog;czech republic;0.7;20;female;;49.937454;14.182121;;23.03.2024;john johnson
hedgehog;czech republic;1;21;female;;49.937788;14.180368;;23.03.2024;john johnson
red squirrel;pl;0.286;20;female;;50.041130;19.949698;;24.03.2024;anne anthony
red squirrel;poland;0.282;21;female;;50.041522;19.950563;zuzia;24.03.2024;anne anthony
hedgehog;austria;0.8;18;male;;47.781882;14.384802;;24.03.2024;bob bobson
hedgehog;austria;0.6;19;male;;47.781019;14.385089;;24.03.2024;bob bobson
hedgehog;austria;0.5;20;male;;47.319782;11.190836;;24.03.2024;bob bobson
hedgehog;austria;0.6;16;female;;47.320020;11.185570;;24.03.2024;bob bobson
hedgehog;austria;0.6;20;male;;47.318793;11.185855;;24.03.2024;bob bobson
hedgehog;austria;1.1;23;female;;47.316963;11.188761;;24.03.2024;bob bobson
hedgehog;de;0.8;16;male;;52.582072;13.149185;;24.03.2024;bob bobson
hedgehog;germany;1.2;23;male;;52.585720;13.148613;;24.03.2024;bob bobson
hedgehog;germany;0.7;19;female;;52.587827;13.148164;;24.03.2024;bob bobson
hedgehog;germany;0.9;151;female;;52.583004;13.150686;;24.03.2024;bob bobson
hedgehog;germany;1.2;22;male;;52.587058;13.149675;;24.03.2024;bob bobson
hedgehog;germany;0.7;16;female;;52.587539;13.146575;;24.03.2024;bob bobson
hedgehog;germany;0.6;25;male;;52.587183;13.146661;;24.03.2024;bob bobson
hedgehog;germany;1;24;male;;52.586487;13.150015;;24.03.2024;bob bobson
red squirrel;germany;0.313;23;female;;52.588779;13.147948;;24.03.2024;bob bobson
red squirrel;germany;0.268;21;male;;52.587089;13.151807;;24.03.2024;bob bobson
red squirrel;austria;0.323;21;male;;47.781847;14.386835;;24.03.2024;bob bobson
red squirrel;austria;0.272;20;female;;47.781296;14.383799;;24.03.2024;bob bobson
red squirrel;austria;0.34;20;male;;47.781538;14.384561;;24.03.2024;bob bobson
red squirrel;austria;0.332;18;female;;47.781345;14.382936;;24.03.2024;bob bobson
red squirrell;germany;0.286;19;female;;52.582658;13.148057;;24.03.2024;bob bobson
hedgehog;czech republic;0.8;18;male;;49.938688;14.179603;;24.03.2024;john johnson
red squirrel;czech republic;0.336;22;female;;49.939212;14.180839;;24.03.2024;john johnson
red squirrel;slovakia;0.2;14;female;;48.186611;17.090271;;24.03.2024;john johnson
hedgehog;poland;0.9;22;female;;52.214494;21.033154;;25.03.2024;anne anthony
hedgehog;poland;1;21;male;;52.214419;21.033441;;25.03.2024;anne anthony
hedgehog;cz;0.4;12;female;;49.937893;14.18083;;25.03.2024;john johnson
red squirrel;czech republic;0.336;23;male;;49.939262;14.179613;;25.03.2024;john johnson
red squirrel;slovakia;0.254;18;male;;48.239854;17.086693;;25.03.2024;john johnson
red squirrel;slovakia;0.294;23;male;;48.226680;17.081529;;25.03.2024;john johnson
red squirrel;slovakia;0.265;22;female;;48.238620;17.074393;;25.03.2024;john johnson
european bison;poland;823;305;male;;52.824290;23.813465;;26.03.2024;anne anthony
european bison;poland;594;243;male;;52.825554;23.812594;;26.03.2024;anne anthony
red squirrel;poland;0.31;24;male;;50.041235;19.951284;;26.03.2024;anne anthony
red squirrel;hungary;-0.251;20;female;;47.508618;18.944915;;26.03.2024;anne anthony
hedgehog;czech republic;0.7;16;male;;49.939150;14.179388;;26.03.2024;john johnson
hedgehog;czech republic;0.6;17;female;;49.938346;14.18024;;26.03.2024;john johnson
hedgehog;poland;1.1;20;female;;52.214766;21.030532;;27.03.2024;anne anthony
red squirrel;poland;0.336;19;male;;50.041489;19.950768;lolek;27.03.2024;anne anthony
hedgehog;germany;0.7;23;female;;52.587532;13.152361;;27.03.2024;bob bobson
hedgehog;de;0.7;17;male;;48.161584;11.494938;;27.03.2024;bob bobson
hedgehog;germany;0.9;18;female;;48.160459;11.493142;;27.03.2024;bob bobson
hedgehog;germany;0.5;20;male;;48.160834;11.489874;;27.03.2024;bob bobson
hedgehog;czech republic;0.5;16;male;;49.938845;14.182246;;27.03.2024;john johnson
hedgehog;czech republic;0.8;17;female;;49.938959;14.180078;;27.03.2024;john johnson
red squirrel;cz;0.277;22;male;;49.939097;14.179435;;27.03.2024;john johnson
red squirrel;slovakia;0.321;18;female;;48.226708;17.087853;;27.03.2024;john johnson
red squirrell;czech republic;0.271;19;female;;49.938523;14.18244;;27.03.2024;john johnson
european bison;poland;510;222;female;;52.807537;23.700909;;28.03.2024;anne anthony
red squirrel;poland;0.328;23;female;;50.041504;19.950218;;28.03.2024;anne anthony
red squirrel;poland;0.278;23;female;;50.041119;19.949730;;28.03.2024;anne anthony
hedgehog;czech republic;0.6;18;female;;49.937805;14.179716;;28.03.2024;john johnson
hedgehog;czech republic;0.7;15;female;;49.939330;14.177877;;28.03.2024;john johnson
red squirrel;hungary;0.273;23;female;;47.507157;18.940379;;29.03.2024;anne anthony
red squirrel;austria;0.336;20;female;;47.780752;14.383452;bibi;29.03.2024;bob bobson
red squirrel;austria;0.29;19;male;;47.781078;14.384559;;29.03.2024;bob bobson
red squirrell;austria;0.337;22;male;;47.781088;14.385534;;29.03.2024;bob bobson
hedgehog;slovakia;0.7;16;male;;48.409138;18.863577;;29.03.2024;john johnson
lynx;slovakia;16;62;female;;48.409448;18.845591;;29.03.2024;john johnson
red squirrel;poland;0.289;24;male;;50.041382;19.949403;;30.03.2024;anne anthony
hedgehog;germany;1.1;25;male;;48.160773;11.493680;;30.03.2024;bob bobson
hedgehog;germany;0.6;15;female;;48.160813;11.492539;;30.03.2024;bob bobson
hedgehog;germany;0.5;20;female;;48.161605;11.491150;;30.03.2024;bob bobson
hedgehog;germany;0.7;20;male;;48.162593;11.491872;;30.03.2024;bob bobson
hedgehog;germany;0.6;15;female;;48.161420;11.495056;;30.03.2024;bob bobson
hedgehog;germany;0.5;16;female;;48.162549;11.492991;;30.03.2024;bob bobson
hedgehog;germany;0.9;19;male;;48.161646;11.493511;;30.03.2024;bob bobson
lynx;slovakia;21;85;male;;48.405213;18.840850;;30.03.2024;john johnson
red squirrel;czech republic;0.288;18;male;;49.939000;14.182239;;30.03.2024;john johnson
red squirrel;slovakia;0.287;21;male;;48.224897;17.085979;;30.03.2024;john johnson
red squirrel;slovakia;0.286;18;male;;48.228961;17.076478;;30.03.2024;john johnson
european bison;poland;970;307;male;;52.805402;23.691244;;31.03.2024;anne anthony
red squirrel;poland;0.323;20;female;;50.041366;19.949444;;31.03.2024;anne anthony
red squirrel;hungary;-0.25;19;female;;47.509538;18.945968;;31.03.2024;anne anthony
hedgehog;slovakia;0.9;19;female;;48.407464;18.874060;;31.03.2024;john johnson
lynx;slovakia;20;78;female;;48.409790;18.870341;;31.03.2024;john johnson
european bison;poland;459;212;female;;52.807403;23.683044;;01.04.2024;anne anthony
european bison;poland;705;280;female;;52.803733;23.686928;;01.04.2024;anne anthony
red squirrel;poland;0.323;19;female;;50.041804;19.951361;;01.04.2024;anne anthony
red squirrel;hungary;0.337;18;female;;47.511558;18.942454;;01.04.2024;anne anthony
hedgehog;slovakia;1.1;22;male;;48.409754;18.870477;;01.04.2024;john johnson
lynx;czech republic;26;81;female;;50.884012;14.370554;;01.04.2024;john johnson
red squirrel;czech republic;0.283;22;female;;49.939191;14.180256;;01.04.2024;john johnson
red squirrel;slovakia;0.26;22;female;;48.231230;17.090253;;01.04.2024;john johnson
hedgehog;hungary;0.6;20;female;;48.504425;20.548744;;02.04.2024;anne anthony
lynx;poland;22;101;male;;52.824599;23.816842;;02.04.2024;anne anthony
red squirrel;poland;0.294;19;male;;50.041131;19.949543;;02.04.2024;anne anthony
red squirrel;poland;;;male;;50.041552;19.949984;;02.04.2024;anne anthony
red squirrel;poland;0.312;23;female;;50.041945;19.949320;lola;02.04.2024;anne anthony
red squirrel;poland;0.29;24;male;;50.041925;19.950894;;02.04.2024;anne anthony
red squirrel;hungary;0.258;21;female;;47.511582;18.942341;;02.04.2024;anne anthony
hedgehog;austria;0.8;15;female;;47.319091;11.188058;;02.04.2024;bob bobson
hedgehog;germany;0.8;18;male;;48.161892;11.493888;;02.04.2024;bob bobson
hedgehog;germany;0.6;15;female;;48.161218;11.494677;;02.04.2024;bob bobson
hedgehog;germany;0.8;23;male;;48.161452;11.495239;;02.04.2024;bob bobson
hedgehog;germany;0.6;16;female;;48.160915;11.489927;;02.04.2024;bob bobson
hedgehog;germany;0.7;19;male;;48.162169;11.495473;;02.04.2024;bob bobson
hedgehog;germany;1;25;female;;49.546290;11.085729;;02.04.2024;bob bobson
hedgehog;germany;1.1;23;male;;49.559558;11.081150;;02.04.2024;bob bobson
red squirrel;austria;0.273;19;female;;47.781613;14.385153;;02.04.2024;bob bobson
red squirrel;austria;0.33;18;female;;47.781637;14.385383;;02.04.2024;bob bobson
red squirrel;austria;0.262;18;female;;47.781838;14.382938;;02.04.2024;bob bobson
red squirrel;austria;0.31;19;female;;47.780925;14.383695;;02.04.2024;bob bobson
red squirrel;austria;0.334;21;female;;47.781449;14.383421;;02.04.2024;bob bobson
red squirrel;austria;0.27;20;female;;47.781800;14.383699;;02.04.2024;bob bobson
red squirrel;austria;0.277;18;male;;47.781073;14.383506;;02.04.2024;bob bobson
red squirrel;germany;0.258;19;male;;48.162251;11.494811;;02.04.2024;bob bobson
red squirrel;germany;0.256;16;female;;48.160432;11.494472;;02.04.2024;bob bobson
red squirrel;germany;0.317;21;female;;48.162563;11.495277;;02.04.2024;bob bobson
red squirrel;germany;0.266;18;female;;48.161906;11.490434;;02.04.2024;bob bobson
red squirrel;germany;0.283;21;male;;49.562324;11.092212;;02.04.2024;bob bobson
red squirrel;germany;0.305;18;female;;49.561973;11.086554;;02.04.2024;bob bobson
red squirrell;austria;0.282;18;male;;47.781755;14.385083;;02.04.2024;bob bobson
red squirrell;germany;0.318;18;male;;49.557527;11.089447;;02.04.2024;bob bobson
lynx;slovakia;27;94;female;;48.411163;18.864362;;02.04.2024;john johnson
red squirrel;slovakia;0.339;20;male;;48.410771;18.865888;;02.04.2024;john johnson
red squirrel;slovakia;0.302;19;male;;48.410201;18.862513;;02.04.2024;john johnson
red squirrel;slovakia;0.276;19;male;;48.408111;18.865646;;02.04.2024;john johnson
red squirrel;slovakia;0.252;19;female;;48.410932;18.861704;;02.04.2024;john johnson
red squirrel;slovakia;0.293;19;male;;48.227614;17.072903;;02.04.2024;john johnson
red squirrel;hungary;0.286;18;male;;47.508260;18.948349;;03.04.2024;anne anthony
hedgehog;germany;1.2;22;male;;49.551211;11.077661;;03.04.2024;bob bobson
hedgehog;germany;0.9;23;female;;49.562583;11.082312;;03.04.2024;bob bobson
hedgehog;germany;0.7;23;female;;49.547597;11.079679;;03.04.2024;bob bobson
;;;;;;;;;03.04.2024;james johnson
hedgehog;slovakia;1.2;26;male;;48.409120;18.869274;;03.04.2024;john johnson
red squirrel;czech republic;0.258;21;female;;49.938787;14.178284;;03.04.2024;john johnson
european bison;poland;1000;295;male;;52.809543;23.708564;;04.04.2024;anne anthony
hedgehog;hungary;0.7;23;female;;47.508516;18.949429;;04.04.2024;anne anthony
hedgehog;hungary;1.2;24;male;;47.508941;18.948915;;04.04.2024;anne anthony
red squirrel;poland;0.337;22;female;;50.041819;19.951542;;04.04.2024;anne anthony
red squirrel;poland;0.272;23;female;;50.041800;19.950244;;04.04.2024;anne anthony
red squirrel;hungary;0.262;22;male;;47.508905;18.94657;;04.04.2024;anne anthony
european bison;poland;557;255;female;;52.811204;23.697814;;05.04.2024;anne anthony
hedgehog;hungary;0.8;17;female;;47.507073;18.947873;;05.04.2024;anne anthony
hedgehog;austria;0.9;22;female;;47.317580;11.187606;;05.04.2024;bob bobson
hedgehog;austria;0.8;16;male;;47.319470;11.185730;;05.04.2024;bob bobson
hedgehog;austria;0.7;18;male;;47.319812;11.184790;;05.04.2024;bob bobson
hedgehog;austria;0.8;20;female;;47.316383;11.188381;;05.04.2024;bob bobson
red squirrel;austria;0.299;20;female;;47.781131;14.382207;;05.04.2024;bob bobson
red squirrel;australia;0.266;20;female;;47.781632;14.382365;;05.04.2024;bob bobson
red squirrel;austria;0.308;18;male;;47.780904;14.385669;;05.04.2024;bob bobson
red squirrel;austria;0.264;22;male;;47.781089;14.385211;;05.04.2024;bob bobson
red squirrel;austria;0.322;20;male;;47.781333;14.382547;;05.04.2024;bob bobson
red squirrel;austria;0.332;18;female;;47.780927;14.382188;;05.04.2024;bob bobson
red squirrel;austria;0.253;21;male;;47.856032;15.076768;;05.04.2024;bob bobson
red squirrel;germany;0.317;20;female;;49.545913;11.081051;;05.04.2024;bob bobson
red squirrel;germany;0.327;20;male;;49.550428;11.077659;;05.04.2024;bob bobson
red squirrel;germany;0.255;19;female;;49.558869;11.076638;;05.04.2024;bob bobson
hedgehog;slovakia;0.8;21;female;;48.412408;18.869074;;05.04.2024;john johnson
lynx;czech republic;15;70;male;;50.883894;14.372364;;05.04.2024;john johnson
red squirrel;slovakia;0.3;19;female;;48.229837;17.089218;;05.04.2024;john johnson
european buster;poland;589;279;female;;52.808704;23.705504;;06.04.2024;anne anthony
hedgehog;hu;0.7;16;female;;47.510231;18.940042;;06.04.2024;anne anthony
hedgehog;hungary;0.8;14;female;;47.509073;18.946838;;06.04.2024;anne anthony
red squirrel;poland;0.348;23;male;;50.041252;19.950033;;06.04.2024;anne anthony
red squirrel;austria;0.294;22;male;;47.855007;15.076539;;06.04.2024;bob bobson
red squirrel;germany;0.299;19;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.314;19;female;;;;;06.04.2024;bob bobson
red squirrel;germany;0.297;20;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.298;21;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.301;19;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.267;20;female;;;;;06.04.2024;bob bobson
red squirrel;germany;0.315;21;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.3;21;female;;;;;06.04.2024;bob bobson
red squirrel;germany;0.3;21;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.264;22;female;;;;;06.04.2024;bob bobson
red squirrel;germany;0.251;21;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.302;22;female;;;;;06.04.2024;bob bobson
red squirrel;germany;0.262;22;female;;;;;06.04.2024;bob bobson
red squirrel;germany;0.301;20;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.243;19;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.314;20;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.244;20;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.25;22;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.272;20;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.289;20;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.315;20;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.304;21;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.241;19;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.248;22;male;;;;;06.04.2024;bob bobson
red squirrel;germany;0.29;21;male;;;;;06.04.2024;bob bobson
;austria;0.319;20;male;;;;;06.04.2024;bob bobson
;austria;0.292;19;female;;;;;06.04.2024;bob bobson
;austria;0.319;19;female;;;;;06.04.2024;bob bobson
;austria;0.298;20;male;;;;;06.04.2024;bob bobson
;austria;0.255;22;male;;;;;06.04.2024;bob bobson
;austria;0.3;20;male;;;;;06.04.2024;bob bobson
;austria;0.252;21;male;;;;;06.04.2024;bob bobson
hedgehog;slovakia;0.8;17;male;;48.409645;18.872415;;06.04.2024;john johnson
lynx?;czech republic;26;88;female;;50.883881;14.373018;;06.04.2024;john johnson
red squirrel;czech republic;0.316;23;female;;49.939310;14.181266;;06.04.2024;john johnson
red squirrel;czech republic;0.327;21;male;;49.938616;14.181291;;06.04.2024;john johnson
red squirrel;czech republic;0.288;18;male;;49.937839;14.179075;;06.04.2024;john johnson
red squirrel;czech republic;0.313;22;female;;49.939308;14.180747;;06.04.2024;john johnson
european bison™;poland;1100;350;male;;52.803316;23.686301;;07.04.2024;anne anthony
hedgehog;hungary;0.9;16;female;;47.506638;18.940091;;07.04.2024;anne anthony
lynx;poland;23;73;male;;52.823016;23.812286;;07.04.2024;anne anthony
red squirrel;hungary;0.319;18;male;;47.508665;18.940456;;07.04.2024;anne anthony
red squirrell;hungary;0.28;21;female;;47.510978;18.942963;;07.04.2024;anne anthony
red squirrel;austria;0.264;22;female;;47.857586;15.081328;;07.04.2024;bob bobson
red squirrel;austria;0.334;19;male;;47.856971;15.078984;;07.04.2024;bob bobson
red squirrel;austria;0.278;21;male;;47.856769;15.076411;;07.04.2024;bob bobson
red squirrel;austria;0.333;22;female;;47.855379;15.077237;lola;07.04.2024;bob bobson
red squirrel;austria;0.323;23;male;;47.856015;15.08325;;07.04.2024;bob bobson
hedgehog;slovakia;1.1;16;female;;48.413154;18.875356;;07.04.2024;john johnson
red squirrel;pl;0.265;22;female;;50.041147;19.950460;;08.04.2024;anne anthony
red squirrel;austria;0.27;23;female;;47.853881;15.078367;;08.04.2024;bob bobson
red squirrel;austria;0.299;19;female;;47.854855;15.082168;sissi;08.04.2024;bob bobson
red squirrel;austria;0.3;21;male;;47.855216;15.078877;;08.04.2024;bob bobson
red squirrel;austria;0.338;19;male;;47.857495;15.07895;;08.04.2024;bob bobson
red squirrel;austria;0.285;21;female;;47.853875;15.078745;;08.04.2024;bob bobson
red squirrel;austria;0.333;19;female;;47.854756;15.082892;sissi;08.04.2024;bob bobson
red squirrel;austria;0.323;23;male;;47.854099;15.076812;;08.04.2024;bob bobson
european bison;cc;560;250;female;;50.645077;14.840304;;08.04.2024;john johnson
hedgehog;slovakia;1.1;25;male;;48.412590;18.873020;;08.04.2024;john johnson
red squirrel;slovakia;-0.252;21;male;;49.057599;22.422203;;08.04.2024;john johnson
red squirrel;slovakia;0.26;18;male;;49.053175;22.414666;;08.04.2024;john johnson
red squirrel;slovakia;0.329;20;male;;49.054663;22.412082;;08.04.2024;john johnson
red squirrel;slovakia;0.33;21;female;;49.055275;22.414210;;08.04.2024;john johnson
red squirrel;slovakia;0.271;23;male;;49.052914;22.422990;;08.04.2024;john johnson
red squirrel;slovakia;0.298;18;female;;49.055453;22.423536;;08.04.2024;john johnson
red squirrel;slovakia;0.281;23;male;;49.056583;22.415432;;08.04.2024;john johnson
red squirrel;slovakia;0.316;22;female;;49.054586;22.413680;;08.04.2024;john johnson
red squirrel;slovakia;0.265;18;male;;49.056946;22.424916;;08.04.2024;john johnson
red squirrel;poland;0.296;22;male;;50.041497;19.950657;;09.04.2024;anne anthony
red squirrel;hungary;0.257;20;female;;47.509375;18.939808;;09.04.2024;anne anthony
red squirrel;czech republic;0.313;21;male;;49.937425;14.182723;;09.04.2024;john johnson
red squirrel;czech republic;0.282;19;female;;49.939072;14.180063;;09.04.2024;john johnson
european bison;pl;486;235;female;;52.809086;23.696425;;10.04.2024;anne anthony
lynx;pl;22;78;male;;52.821625;23.818063;;10.04.2024;anne anthony
hedgehog;slovakia;1.2;26;male;;48.409469;18.861715;;10.04.2024;john johnson
red squirrel;czech republic;0.257;21;male;;50.107147;14.347009;;10.04.2024;john johnson
european bison;poland;610;281;female;;52.810989;23.689137;;11.04.2024;anne anthony
hedgehog;hungary;0.8;17;female;;47.507081;18.939062;;11.04.2024;anne anthony
red squirrel;poland;0.325;20;female;;50.041347;19.950773;;11.04.2024;anne anthony
red squirrel;hungary;0.275;21;female;;47.506071;18.949311;;11.04.2024;anne anthony
red squirrel;hungary;0.285;20;male;;47.509655;18.943576;;11.04.2024;anne anthony
red squirrel;australia;0.31;23;male;;47.856092;15.083547;;11.04.2024;bob bobson
red squirrel;austria;0.256;19;male;;47.854876;15.08295;;11.04.2024;bob bobson
red squirrel;austria;0.285;23;male;;47.857535;15.078083;;11.04.2024;bob bobson
red squirrel;germany;0.303;19;female;;48.162437;11.494298;;11.04.2024;bob bobson
red squirrel;germany;0.273;19;male;;48.161106;11.48991;;11.04.2024;bob bobson
red squirrel;germany;0.267;22;female;;48.161385;11.492571;;11.04.2024;bob bobson
red squirrel;germany;0.258;20;female;;48.162137;11.494415;;11.04.2024;bob bobson
red squirrel;germany;0.296;18;male;;48.162162;11.493917;;11.04.2024;bob bobson
lynx;slovakia;22;88;male;;48.408550;18.864935;;11.04.2024;john johnson
red squirrel;czech republic;0.308;22;female;;50.106721;14.346231;;11.04.2024;john johnson
european bison;poland;853;287;male;;52.803560;23.690378;;12.04.2024;anne anthony
red squirrel;germany;0.302;18;female;;48.160992;11.495374;;12.04.2024;bob bobson
hedgehog;slovakia;1;20;female;;48.408713;18.863829;;12.04.2024;john johnson
red squirrel;czech republic;0.325;21;female;;50.106483;14.348192;;12.04.2024;john johnson
hedgehog;hu;1.2;23;male;;47.511267;18.940191;;13.04.2024;anne anthony
red squirrel;poland;0.264;20;male;;50.041366;19.949936;;13.04.2024;anne anthony
red squirrel;poland;;;male;;50.041573;19.949850;;13.04.2024;anne anthony
red squirrel;poland;0.32;23;female;;50.041554;19.951130;;13.04.2024;anne anthony
red squirrel;poland;0.298;23;male;;52.211967;21.032924;;13.04.2024;anne anthony
hedgehog;slovakia;0.8;23;male;;48.412843;18.872614;;13.04.2024;john johnson
hedgehog;slovakia;0.8;16;male;;48.407138;18.867247;;13.04.2024;john johnson
hedgehog;hungary;0.4;17;female;;47.509261;18.949967;;14.04.2024;anne anthony
lynx;poland;20;90;female;;52.824608;23.817396;;14.04.2024;anne anthony
red squirrel;hungary;0.297;18;male;;47.506306;18.946099;;14.04.2024;anne anthony
red squirrel;hungary;0.308;20;female;;47.510068;18.947176;;14.04.2024;anne anthony
red squirrel;hungary;0.268;19;male;;47.511060;18.939832;;14.04.2024;anne anthony
red squirrel;germany;0.259;22;male;;48.160831;11.492403;;14.04.2024;bob bobson
european bisson;poland;700;286;male;;52.808503;23.69937;;15.04.2024;anne anthony
hedgehog;hungary;0.7;15;male;;47.511427;18.948714;;15.04.2024;anne anthony
red squirrel;poland;0.278;21;female;;52.211888;21.032350;;15.04.2024;anne anthony
red squirrel;germany;0.339;19;female;;48.161422;11.491813;;15.04.2024;bob bobson
red squirrel;germany;0.307;22;male;;48.160790;11.489549;;15.04.2024;bob bobson
red squirrel;germany;0.256;20;female;;48.161009;11.491557;;15.04.2024;bob bobson
red squirrel;germany;0.29;20;male;;48.160807;11.494219;;15.04.2024;bob bobson
red squirrel;germany;0.323;18;female;;48.161794;11.494325;;15.04.2024;bob bobson
red squirrel;germany;0.293;21;male;;48.161069;11.49303;;15.04.2024;bob bobson
red squirrel;germany;0.326;18;female;;48.160870;11.49027;;15.04.2024;bob bobson
red squirrel;germany;0.266;21;female;;48.160560;11.490806;;15.04.2024;bob bobson
hedgehog;slovakia;0.5;18;female;;48.409909;18.867006;;15.04.2024;john johnson
red squirrel;czech republic;0.317;19;male;;50.106373;14.347574;;15.04.2024;john johnson
hedgehog;hungary;0.5;19;female;;47.506430;18.947912;;16.04.2024;anne anthony
hedgehog;hungary;0.6;15;male;;47.506663;18.940320;;16.04.2024;anne anthony
red squirrel;hungary;0.254;20;female;;47.508169;18.947418;;16.04.2024;anne anthony
red squirrel;germany;0.313;19;male;;48.161902;11.49458;;16.04.2024;bob bobson
red squirrel;germany;0.2;14;male;;49.554765;11.0922;;16.04.2024;bob bobson
red squirrel;germany;0.278;18;female;;49.558466;11.096048;;16.04.2024;bob bobson
hedgehog;slovakia;0.6;25;male;;48.407605;18.876341;;16.04.2024;john johnson
red squirrel;poland;0.298;19;female;;52.212379;21.032913;;17.04.2024;anne anthony
hedgehog;germany;0.7;21;male;;49.556052;11.081501;;17.04.2024;bob bobson
hedgehog;germany;1.2;28;male;;49.551520;11.079537;;17.04.2024;bob bobson
hedgehog;germany;0.5;18;female;;49.553737;11.087705;;17.04.2024;bob bobson
hedgehog;germany;1;20;male;;49.560442;11.098395;;17.04.2024;bob bobson
hedgehog;germany;0.9;25;male;;49.560723;11.084667;;17.04.2024;bob bobson
hedgehog;germany;0.4;16;female;;49.558790;11.081218;;17.04.2024;bob bobson
red squirrel;germany;0.294;20;male;;49.545857;11.076254;;17.04.2024;bob bobson
red squirrel;germany;0.3;23;female;;49.554685;11.08345;;17.04.2024;bob bobson
hedgehog;slovakia;1.1;23;male;;48.186112;17.090491;;17.04.2024;john johnson
lynx;slovakia;27;100;male;;48.411117;18.862265;;17.04.2024;john johnson
red squirrel;czech republic;0.283;22;female;;50.106413;14.348204;;17.04.2024;john johnson
red squirrel;czech republic;0.28;22;female;;50.107135;14.348206;;17.04.2024;john johnson
european bison;poland;405;220;female;;52.804031;23.683032;;18.04.2024;anne anthony
hedgehog;germany;1;24;male;;49.561057;11.084334;;18.04.2024;bob bobson
hedgehog;germany;0.6;11;male;;49.557055;11.101996;;18.04.2024;bob bobson
hedgehog;germany;0.7;25;male;;49.554133;11.089674;;18.04.2024;bob bobson
hedgehog;germany;0.6;22;female;;49.561174;11.102216;;18.04.2024;bob bobson
hedgehog;germany;0.5;20;male;;49.563085;11.101392;;18.04.2024;bob bobson
hedgehog;germany;0.9;25;male;;49.551318;11.085475;;18.04.2024;bob bobson
hedgehog;germany;0.5;16;female;;49.556237;11.088639;;18.04.2024;bob bobson
hedgehog;germany;0.8;17;male;;49.545768;11.086386;;18.04.2024;bob bobson
red squirrel;czech republic;0.326;23;male;;50.107313;14.348552;;18.04.2024;john johnson
european bison;poland;662;244;female;;52.809106;23.680095;;19.04.2024;anne anthony
red squirrel;poland;0.341;23;male;;52.212042;21.033492;;19.04.2024;anne anthony
hedgehog;austria;0.6;17;female;;47.319579;11.186061;;19.04.2024;bob bobson
hedgehog;austria;0.9;25;male;;47.317974;11.187472;;19.04.2024;bob bobson
hedgehog;austria;1.1;22;male;;47.316562;11.191160;;19.04.2024;bob bobson
hedgehog;austria;1.2;24;male;;47.318191;11.189484;;19.04.2024;bob bobson
european bison;cc;656;245;female;;50.643056;14.843037;;19.04.2024;john johnson
hedgehog;slovakia;1.1;19;female;;48.187522;17.087251;;19.04.2024;john johnson
hedgehog;slovakia;1.1;29;male;;48.185406;17.084535;;19.04.2024;john johnson
lynx;czech republic;12;52;male;;-78.582972;14.367993;;19.04.2024;john johnson
lynx;slovakia;24;81;female;;48.408549;18.873960;;19.04.2024;john johnson
lynx?;czech republic;22;83;female;;50.882924;14.368207;;19.04.2024;john johnson
red squirrel;poland;0.327;23;male;;52.212168;21.032304;;20.04.2024;anne anthony
red squirrel;poland;0.337;24;female;;52.211797;21.033750;basia;20.04.2024;anne anthony
red squirrel;poland;0.318;24;male;;52.212470;21.033642;;20.04.2024;anne anthony
red squirrel;poland;0.33;23;male;;52.211872;21.032296;puchatek;20.04.2024;anne anthony
european bison;poland;776;294;male;;52.805299;23.701093;;21.04.2024;anne anthony
hedgehog;slovakia;0.8;18;male;;48.186208;17.089749;;21.04.2024;john johnson
red squirrel;poland;0.306;19;female;;52.212605;21.033877;;22.04.2024;anne anthony
red squirrel;poland;0.349;20;female;;52.212001;21.033903;;22.04.2024;anne anthony
lynx;czech republic;23;78;male;;-78.582973;14.366824;;22.04.2024;john johnson
hedgehog;slovakia;0.7;16;male;;48.184231;17.091694;;23.04.2024;john johnson
european bison;poland;650;286;female;;52.812486;23.686231;;24.04.2024;anne anthony
